t   expenses miles
1   2.139   3.147
2   2.126    3.16
3   2.153   3.197
4   2.153   3.173
5   2.154   3.292
6   2.282   3.561
7   2.456   4.013
8   2.599   4.244
9   2.509   4.159
10   2.345   3.776
11   2.059   3.232
12   2.027   3.141
13   1.985   2.928
14   1.956   3.063
15   2.004   3.096
16   2.001   3.096
17   2.015   3.158
18   2.132   3.338
19   2.195   3.492
20   2.437   4.019
21   2.623   4.394
22   2.523   4.251
23   2.244   3.844
24   2.153   3.276
25   2.025   3.184
26   2.007   3.037
27   2.018   3.142
28   2.021   3.159
29   2.004   3.139
30   2.093   3.203
31   2.139   3.307
32    2.27   3.585
33   2.464   4.073
