ID	GRE	GPA	Rank	Admit
1	380	3.61	3	0
2	660	3.67	3	1
3	800	4	1	1
4	640	3.19	4	1
5	520	2.93	4	0
6	760	3	2	1
7	560	2.98	1	1
8	400	3.08	2	0
9	540	3.39	3	1
10	700	3.92	2	0
11	800	4	4	0
12	440	3.22	1	0
13	760	4	1	1
14	700	3.08	2	0
15	700	4	1	1
16	480	3.44	3	0
17	780	3.87	4	0
18	360	2.56	3	0
19	800	3.75	2	0
20	540	3.81	1	1
21	500	3.17	3	0
22	660	3.63	2	1
23	600	2.82	4	0
24	680	3.19	4	0
25	760	3.35	2	1
26	800	3.66	1	1
27	620	3.61	1	1
28	520	3.74	4	1
29	780	3.22	2	1
30	520	3.29	1	0
31	540	3.78	4	0
32	760	3.35	3	0
33	600	3.4	3	0
34	800	4	3	1
35	360	3.14	1	0
36	400	3.05	2	0
37	580	3.25	1	0
38	520	2.9	3	0
39	500	3.13	2	1
40	520	2.68	3	1
41	560	2.42	2	0
42	580	3.32	2	1
43	600	3.15	2	1
44	500	3.31	3	0
45	700	2.94	2	0
46	460	3.45	3	1
47	580	3.46	2	1
48	500	2.97	4	0
49	440	2.48	4	0
50	400	3.35	3	0
51	640	3.86	3	0
52	440	3.13	4	0
53	740	3.37	4	0
54	680	3.27	2	1
55	660	3.34	3	0
56	740	4	3	1
57	560	3.19	3	0
58	380	2.94	3	0
59	400	3.65	2	0
60	600	2.82	4	0
61	620	3.18	2	1
62	560	3.32	4	0
63	640	3.67	3	0
64	680	3.85	3	1
65	580	4	3	0
66	600	3.59	2	0
67	740	3.62	4	0
68	620	3.3	1	0
69	580	3.69	1	0
70	800	3.73	1	0
71	640	4	3	0
72	300	2.92	4	0
73	480	3.39	4	0
74	580	4	2	0
75	720	3.45	4	0
76	720	4	3	0
77	560	3.36	3	0
78	800	4	3	1
79	540	3.12	1	0
80	620	4	1	1
81	700	2.9	4	0
82	620	3.07	2	0
83	500	2.71	2	0
84	380	2.91	4	0
85	500	3.6	3	1
86	520	2.98	2	0
87	600	3.32	2	0
88	600	3.48	2	0
89	700	3.28	1	0
90	660	4	2	1
91	700	3.83	2	0
92	720	3.64	1	1
93	800	3.9	2	0
94	580	2.93	2	0
95	660	3.44	2	1
96	660	3.33	2	0
97	640	3.52	4	0
98	480	3.57	2	0
99	700	2.88	2	0
100	400	3.31	3	0
101	340	3.15	3	0
102	580	3.57	3	0
103	380	3.33	4	0
104	540	3.94	3	0
105	660	3.95	2	1
106	740	2.97	2	1
107	700	3.56	1	1
108	480	3.13	2	0
109	400	2.93	3	0
110	480	3.45	2	0
111	680	3.08	4	0
112	420	3.41	4	0
113	360	3	3	0
114	600	3.22	1	0
115	720	3.84	3	0
116	620	3.99	3	0
117	440	3.45	2	1
118	700	3.72	2	0
119	800	3.7	1	1
120	340	2.92	3	0
121	520	3.74	2	1
122	480	2.67	2	1
123	520	2.85	3	0
124	500	2.98	3	0
125	720	3.88	3	0
126	540	3.38	4	0
127	600	3.54	1	1
128	740	3.74	4	0
129	540	3.19	2	0
130	460	3.15	4	0
131	620	3.17	2	1
132	640	2.79	2	0
133	580	3.4	2	0
134	500	3.08	3	0
135	560	2.95	2	0
136	500	3.57	3	0
137	560	3.33	4	0
138	700	4	3	0
139	620	3.4	2	0
140	600	3.58	1	1
141	640	3.93	2	0
142	700	3.52	4	1
143	620	3.94	4	0
144	580	3.4	3	0
145	580	3.4	4	0
146	380	3.43	3	0
147	480	3.4	2	0
148	560	2.71	3	0
149	480	2.91	1	1
150	740	3.31	1	0
151	800	3.74	1	1
152	400	3.38	2	0
153	640	3.94	2	1
154	580	3.46	3	0
155	620	3.69	3	0
156	580	2.86	4	1
157	560	2.52	2	0
158	480	3.58	1	1
159	660	3.49	2	0
160	700	3.82	3	0
161	600	3.13	2	0
162	640	3.5	2	0
163	700	3.56	2	1
164	520	2.73	2	0
165	580	3.3	2	0
166	700	4	1	0
167	440	3.24	4	0
168	720	3.77	3	0
169	500	4	3	0
170	600	3.62	3	0
171	400	3.51	3	0
172	540	2.81	3	0
173	680	3.48	3	0
174	800	3.43	2	1
175	500	3.53	4	0
176	620	3.37	2	1
177	520	2.62	2	0
178	620	3.23	3	1
179	620	3.33	3	0
180	300	3.01	3	0
181	620	3.78	3	0
182	500	3.88	4	0
183	700	4	2	0
184	540	3.84	2	1
185	500	2.79	4	0
186	800	3.6	2	0
187	560	3.61	3	0
188	580	2.88	2	0
189	560	3.07	2	0
190	500	3.35	2	0
191	640	2.94	2	1
192	800	3.54	3	0
193	640	3.76	3	0
194	380	3.59	4	0
195	600	3.47	2	1
196	560	3.59	2	0
197	660	3.07	3	0
198	400	3.23	4	1
199	600	3.63	3	0
200	580	3.77	4	0
201	800	3.31	3	0
202	580	3.2	2	1
203	700	4	1	1
204	420	3.92	4	0
205	600	3.89	1	1
206	780	3.8	3	1
207	740	3.54	1	0
208	640	3.63	1	1
209	540	3.16	3	0
210	580	3.5	2	0
211	740	3.34	4	0
212	580	3.02	2	0
213	460	2.87	2	0
214	640	3.38	3	0
215	600	3.56	2	1
216	660	2.91	3	1
217	340	2.9	1	0
218	460	3.64	1	1
219	460	2.98	1	0
220	560	3.59	2	1
221	540	3.28	3	0
222	680	3.99	3	0
223	480	3.02	1	1
224	800	3.47	3	0
225	800	2.9	2	0
226	720	3.5	3	1
227	620	3.58	2	0
228	540	3.02	4	0
229	480	3.43	2	0
230	720	3.42	2	1
231	580	3.29	4	0
232	600	3.28	3	0
233	380	3.38	2	0
234	420	2.67	3	0
235	800	3.53	1	1
236	620	3.05	2	0
237	660	3.49	2	1
238	480	4	2	0
239	500	2.86	4	0
240	700	3.45	3	0
241	440	2.76	2	0
242	520	3.81	1	1
243	680	2.96	3	1
244	620	3.22	2	0
245	540	3.04	1	0
246	800	3.91	3	0
247	680	3.34	2	0
248	440	3.17	2	0
249	680	3.64	3	0
250	640	3.73	3	0
251	660	3.31	4	0
252	620	3.21	4	0
253	520	4	2	1
254	540	3.55	4	1
255	740	3.52	4	1
256	640	3.35	3	0
257	520	3.3	2	1
258	620	3.95	3	1
259	520	3.51	2	0
260	640	3.81	2	0
261	680	3.11	2	0
262	440	3.15	2	0
263	520	3.19	3	1
264	620	3.95	3	1
265	520	3.9	3	1
266	380	3.34	3	0
267	560	3.24	4	0
268	600	3.64	3	1
269	680	3.46	2	1
270	500	2.81	3	0
271	640	3.95	2	1
272	540	3.33	3	0
273	680	3.67	2	1
274	660	3.32	1	0
275	520	3.12	2	0
276	600	2.98	2	1
277	460	3.77	3	0
278	580	3.58	1	1
279	680	3	4	1
280	660	3.14	2	1
281	660	3.94	2	0
282	360	3.27	3	0
283	660	3.45	4	0
284	520	3.1	4	0
285	440	3.39	2	1
286	600	3.31	4	0
287	800	3.22	1	1
288	660	3.7	4	1
289	800	3.15	4	0
290	420	2.26	4	0
291	620	3.45	2	1
292	800	2.78	2	0
293	680	3.7	2	0
294	800	3.97	1	0
295	480	2.55	1	0
296	520	3.25	3	0
297	560	3.16	1	0
298	460	3.07	2	0
299	540	3.5	2	0
300	720	3.4	3	0
301	640	3.3	2	0
302	660	3.6	3	1
303	400	3.15	2	1
304	680	3.98	2	1
305	220	2.83	3	0
306	580	3.46	4	0
307	540	3.17	1	1
308	580	3.51	2	0
309	540	3.13	2	0
310	440	2.98	3	0
311	560	4	3	0
312	660	3.67	2	0
313	660	3.77	3	0
314	520	3.65	4	1
315	540	3.46	4	0
316	300	2.84	2	1
317	340	3	2	1
318	780	3.63	4	1
319	480	3.71	4	1
320	540	3.28	1	0
321	460	3.14	3	0
322	460	3.58	2	0
323	500	3.01	4	0
324	420	2.69	2	0
325	520	2.7	3	0
326	680	3.9	1	0
327	680	3.31	2	0
328	560	3.48	2	1
329	580	3.34	2	0
